,Job Title,Annual Salary,Experience,Education,Position,Location,Is Remote,Company Size,Company Size Scale,Founded,Company Old,Industry,Sector,Revenue,Revenue Scale,Type of Ownership,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Company Name,Time of Scrape
0,Data Scientist,,4,BACHELOR,SENIOR,Remote,1,201 to 500 Employees,3,2014,9,Financial Transaction Processing,Financial Services,$1 to $5 billion (USD),7,Company - Private,3.5,3.1,3.2,3.8,3.1,3.7,Stax,2023-05-11 13:40:15.284712
1,Data Engineer- Remote,,2,BACHELOR,-1,Remote,1,Unknown,-1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Public,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,YT Global Network,2023-05-11 13:40:18.006925
2,"Senior Data Scientist, Analytics",,4,BACHELOR,-1,"San Francisco, CA",0,501 to 1000 Employees,4,2015,8,Internet & Web Services,Information Technology,$25 to $100 million (USD),4,Company - Private,3.6,3.5,4.0,3.6,3.1,3.4,Discord,2023-05-11 13:40:20.363830
3,Data Analyst II,,2,BACHELOR,-1,Remote,1,1001 to 5000 Employees,5,2004,19,Primary & Secondary Schools,Education,$500 million to $1 billion (USD),7,Company - Private,4.3,4.0,4.2,4.1,3.9,4.2,Cambium Learning Group,2023-05-11 13:40:22.962120
4,Data Scientist I,,2,BACHELOR,-1,Remote,1,201 to 500 Employees,3,-1,-1,Civic & Social Services,Nonprofit & NGO,$5 to $25 million (USD),3,Nonprofit Organization,2.4,2.5,3.1,2.3,2.0,2.1,Vibrant Emotional Health,2023-05-11 13:40:26.187300
5,Machine Learning engineer (REMOTE/ Contract),,-1,MASTER,-1,Remote,1,51 to 200 Employees,2,2003,20,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Subsidiary or Business Segment,3.6,3.5,3.1,3.4,3.1,3.1,Glow Networks,2023-05-11 13:40:28.287455
6,Data Science Associate,,1,BACHELOR,JUNIOR,United States,0,1 to 50 Employees,1,2015,8,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,-1,Company - Private,4.4,4.5,4.6,4.1,4.1,4.6,pulseData,2023-05-11 13:40:30.784741
7,Senior Data Analyst,,8,MASTER,SENIOR,Remote,1,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Contract,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Zora,2023-05-11 13:40:33.426942
8,-1,,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,2023-05-11 13:40:37.008702
9,"AI Architect | REMOTE | Data Science, AI/ML, R",,8,MASTER,SENIOR,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Sciprex,2023-05-11 13:40:38.239085
10,DATA ARCHITECT ( Chat GPT ),,-1,-1,-1,"Mansfield, OH",0,1 to 50 Employees,1,-1,-1,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3,Company - Private,3.3,2.7,2.4,3.0,3.0,3.5,Cloudious,2023-05-11 13:40:39.833600
11,"Associate Engineer, Data Science",,-1,MASTER,-1,Remote,1,10000+ Employees,7,1996,27,Information Technology Support Services,Information Technology,$100 to $500 million (USD),6,Company - Public,4.3,4.1,4.1,4.3,4.0,4.1,Nagarro,2023-05-11 13:40:42.551390
12,Computer Science Expert AI Training - Remote Work,,-1,BACHELOR,-1,Remote,1,51 to 200 Employees,2,2016,7,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Company - Private,3.6,3.8,3.4,3.7,3.4,3.2,Scaleapi,2023-05-11 13:40:44.956805
13,"Technology Analyst Program - Data Science (Sunnyvale, CA)",,-1,BACHELOR,JUNIOR,"Sunnyvale, CA",0,10000+ Employees,7,1984,39,Financial Transaction Processing,Financial Services,$10+ billion (USD),9,Company - Public,3.1,3.1,3.2,3.0,2.7,3.1,"Fiserv, Inc.",2023-05-11 13:40:47.574005
14,Data Scientist,,-1,BACHELOR,-1,"Philadelphia, PA",0,Unknown,-1,-1,-1,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable,-1,Company - Public,3.9,3.9,3.9,3.4,3.4,3.9,Vetro Tech Inc,2023-05-11 13:40:50.381393
15,Data Science Associate,,2,BACHELOR,-1,"Raleigh, NC",0,10000+ Employees,7,1987,36,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),9,Company - Public,3.9,3.5,4.3,3.8,3.5,3.4,Gilead Sciences,2023-05-11 13:40:52.989945
16,Data Analyst,,3,BACHELOR,SENIOR,"Cupertino, CA",0,1 to 50 Employees,1,-1,-1,Advertising & Public Relations,Media & Communication,$1 to $5 million (USD),2,Company - Private,3.0,3.0,3.0,3.0,3.0,3.0,Match Inc,2023-05-11 13:40:55.158798
17,Data Scientist,,15,BACHELOR,SENIOR,Remote,1,51 to 200 Employees,2,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,5.0,5.0,4.6,4.8,4.8,4.8,Hanker Systems Inc,2023-05-11 13:40:57.382806
18,Data Scientist,,-1,BACHELOR,-1,"Detroit, MI",0,1 to 50 Employees,1,-1,-1,-1,-1,Unknown / Non-Applicable,-1,Company - Private,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,KesarWeb,2023-05-11 13:41:00.004497
19,Data Scientist,,2,BACHELOR,SENIOR,"Boston, MA",0,10000+ Employees,7,1828,195,Banking & Lending,Financial Services,$5 to $10 billion (USD),8,Company - Public,3.7,3.6,3.6,3.8,3.4,3.7,Citizens,2023-05-11 13:41:02.326959
20,Data Scientist,,5,BACHELOR,-1,Remote,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,PROLIM Corporation,2023-05-11 13:41:04.805615
21,Senior Data Cloud Architect (Data Science Focus),,-1,MASTER,-1,Remote,1,1001 to 5000 Employees,5,2012,11,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),7,Company - Public,4.1,4.1,4.2,4.0,3.9,3.7,Snowflake,2023-05-11 13:41:06.824763
22,Data Scientist,,4,MASTER,-1,Remote,1,1001 to 5000 Employees,5,2010,13,Internet & Web Services,Information Technology,$100 to $500 million (USD),6,Company - Public,4.0,3.7,4.1,4.0,3.4,4.0,Pinterest,2023-05-11 13:41:10.048712
23,Junior Data Scientist - Telematics (REMOTE),,2,BACHELOR,JUNIOR,"Charlotte, NC",0,10000+ Employees,7,1810,213,Insurance Carriers,Insurance,$10+ billion (USD),9,Company - Public,4.0,3.9,3.8,4.2,3.8,3.9,The Hartford,2023-05-11 13:41:12.620890
24,Marketing Data Analytics,,5,MASTER,-1,Remote,1,201 to 500 Employees,3,1996,27,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable,-1,Company - Private,3.7,3.3,3.4,3.2,3.4,3.4,cyberThink,2023-05-11 13:41:15.578876
25,Data Science Expert - AI Model Training,,-1,BACHELOR,-1,Remote,1,501 to 1000 Employees,4,1996,27,Business Consulting,Management & Consulting,$100 to $500 million (USD),6,Company - Public,3.7,3.3,3.1,3.4,3.2,3.9,Appen,2023-05-11 13:41:18.241718
26,Analyst - Analytics and Data Science,,3,BACHELOR,SENIOR,"Phoenix, AZ",0,1001 to 5000 Employees,5,1939,84,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1,Nonprofit Organization,4.2,3.9,4.0,4.3,4.0,4.0,Blue Cross Blue Shield of Arizona,2023-05-11 13:41:21.229656
27,Data Scientist III Data Science,,-1,BACHELOR,SENIOR,"Downey, CA",0,10000+ Employees,7,1945,78,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),9,Nonprofit Organization,3.9,3.7,4.3,3.6,3.2,3.5,Kaiser Permanente,2023-05-11 13:41:23.778196
